m_fLODDistMultiplier,LODDistMultiplier
m_fGenerationDistMultiplier,GenerationDistMultiplier
m_fAlphaSpeedAtStartInter,m_fAlphaSpeedAtStartInter
m_fAlphaWhenInterPol,m_fAlphaWhenInterPol
m_fAlphaDuringInterPol,m_fAlphaDuringInterPol
m_fBetaDuringInterPol,m_fBetaDuringInterPol
m_fBetaSpeedAtStartInter,m_fBetaSpeedAtStartInter
m_fBetaWhenInterPol,m_fBetaWhenInterPol
m_fFOVWhenInterPol,m_fFOVWhenInterPol
m_fFOVSpeedAtStartInter,m_fFOVSpeedAtStartInter
m_fStartingBetaForInterPol,m_fStartingBetaForInterPol
m_fStartingAlphaForInterPol,m_fStartingAlphaForInterPol
m_fPedOrientForBehindOrInFront,m_PedOrientForBehindOrInFront
m_fCameraAverageSpeed,m_CameraAverageSpeed
m_fCameraSpeedSoFar,m_CameraSpeedSoFar
m_fCamShakeForce,m_fCamShakeForce
m_fFovForTrain,m_fFovForTrain
m_fFOV_Wide_Screen,m_fFOV_Wide_Screen
m_fNearClipScript,m_fNearClipScript
m_fOldBetaDiff,m_fOldBetaDiff
m_fPositionAlongSpline,m_fPositionAlongSpline
m_fScreenReductionPercentage,m_ScreenReductionPercentage
m_fScreenReductionSpeed,m_ScreenReductionSpeed
m_fAlphaForPlayerAnim1rstPerson,m_AlphaForPlayerAnim1rstPerson
m_fOrientation,Orientation
m_fPlayerExhaustion,PlayerExhaustion
m_fSoundDistUp,SoundDistUp
m_fSoundDistUpAsRead,SoundDistUpAsRead
m_fSoundDistUpAsReadOld,SoundDistUpAsReadOld
m_fAvoidTheGeometryProbsTimer,m_fAvoidTheGeometryProbsTimer
m_nAvoidTheGeometryProbsDirn,m_nAvoidTheGeometryProbsDirn
m_fWideScreenReductionAmount,m_fWideScreenReductionAmount
m_fStartingFOVForInterPol,m_fStartingFOVForInterPol
m_aCams,Cams
m_pToGarageWeAreIn,pToGarageWeAreIn
m_pToGarageWeAreInForHackAvoidFirstPerson,pToGarageWeAreInForHackAvoidFirstPerson
m_PlayerMode,m_PlayerMode
m_PlayerWeaponMode,PlayerWeaponMode
m_vecPreviousCameraPosition,m_PreviousCameraPosition
m_vecRealPreviousCameraPosition,m_RealPreviousCameraPosition
m_vecAimingTargetCoors,m_cvecAimingTargetCoors
m_vecFixedModeVector,m_vecFixedModeVector
m_vecFixedModeSource,m_vecFixedModeSource
m_vecFixedModeUpOffSet,m_vecFixedModeUpOffSet
m_vecCutSceneOffset,m_vecCutSceneOffset
m_vecStartingSourceForInterPol,m_cvecStartingSourceForInterPol
m_vecStartingTargetForInterPol,m_cvecStartingTargetForInterPol
m_vecStartingUpForInterPol,m_cvecStartingUpForInterPol
m_vecSourceSpeedAtStartInter,m_cvecSourceSpeedAtStartInter
m_vecTargetSpeedAtStartInter,m_cvecTargetSpeedAtStartInter
m_vecUpSpeedAtStartInter,m_cvecUpSpeedAtStartInter
m_vecSourceWhenInterPol,m_vecSourceWhenInterPol
m_vecTargetWhenInterPol,m_vecTargetWhenInterPol
m_vecUpWhenInterPol,m_vecUpWhenInterPol
m_vecClearGeometryVec,m_vecClearGeometryVec
m_vecGameCamPos,m_vecGameCamPos
m_vecSourceDuringInter,SourceDuringInter
m_vecTargetDuringInter,TargetDuringInter
m_vecUpDuringInter,UpDuringInter
m_vecAttachedCamOffset,m_vecAttachedCamOffset
m_vecAttachedCamLookAt,m_vecAttachedCamLookAt
m_fAttachedCamAngle,m_fAttachedCamAngle
m_pRwCamera,m_pRwCamera
m_pTargetEntity,pTargetEntity
m_pAttachedEntity,pAttachedEntity
m_aPathArray,m_arrPathArray
m_bMirrorActive,m_bMirrorActive
m_bResetOldMatrix,m_bResetOldMatrix
m_mCameraMatrix,m_cameraMatrix
m_mCameraMatrixOld,m_cameraMatrixOld
m_mViewMatrix,m_viewMatrix
m_mMatInverse,m_matInverse
m_mMatMirrorInverse,m_matMirrorInverse
m_mMatMirror,m_matMirror
m_avecFrustumNormals,m_vecFrustumNormals
m_avecFrustumWorldNormals,m_vecFrustumWorldNormals
m_avecFrustumWorldNormals_Mirror,m_vecFrustumWorldNormals_Mirror
m_fFrustumPlaneOffsets,m_fFrustumPlaneOffsets
m_fFrustumPlaneOffsets_Mirror,m_fFrustumPlaneOffsets_Mirror
m_fFadeAlpha,m_fFloatingFade
m_fEffectsFaderScalingFactor,m_fFloatingFadeMusic
m_fFadeDuration,m_fTimeToFadeOut
m_fTimeToFadeMusic,m_fTimeToFadeMusic
m_fTimeToWaitToFadeMusic,m_fTimeToWaitToFadeMusic
m_fFractionInterToStopMoving,m_fFractionInterToStopMoving
